name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Andalucía, España",2023-01-01,16.8,7.4,11.4,16.8,5.5,11,7.8,80.1,0,0,0,,0,0,18,10.8,31.6,1023.6,42.9,12.7,139.7,12.1,3,,2023-01-01T08:38:28,2023-01-01T18:16:39,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D5656,08391099999,08397099999,AV485,LEZL,LEMO,08451099999"
"Andalucía, España",2023-01-02,14.2,10.3,12.3,14.2,10.3,12.3,11.9,97.5,9.916,100,25,rain,0,0,33.1,25.1,39.8,1024.5,85.5,9.5,108.3,9.6,2,,2023-01-02T08:38:37,2023-01-02T18:17:27,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D5656,08391099999,08397099999,AV485,LEZL,LEMO,08451099999"
